timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
525656575,inf,1,0,0,0
526669494,inf,1,0,0,0
527681484,inf,1,0,0,0
528700656,inf,1,0,0,0
529713500,inf,1,0,0,0
530725484,inf,1,0,0,0
531737499,inf,1,0,0,0
532754260,inf,1,0,0,0
533770500,inf,1,0,0,0
534782480,inf,1,0,0,0
535801514,inf,1,0,0,0
536811528,inf,1,0,0,0
537827265,inf,1,0,0,0
538828098,inf,1,0,0,0
539839480,inf,1,0,0,0
540851486,inf,1,0,0,0
541862275,inf,1,0,0,0
542880825,inf,1,0,0,0
543899962,inf,1,0,0,0
544901474,inf,1,0,0,0
545908603,inf,1,0,0,0
546913462,inf,1,0,0,0
547922924,inf,1,0,0,0
548937474,inf,1,0,0,0
549950473,inf,1,0,0,0
550962542,inf,1,0,0,0
551983486,inf,1,0,0,0
552995104,inf,1,0,0,0
554010366,inf,1,0,0,0
555025534,inf,1,0,0,0
556042434,inf,1,0,0,0
557045472,inf,1,0,0,0
558054781,inf,1,0,0,0
559070521,inf,1,0,0,0
560084537,inf,1,0,0,0
561096572,inf,1,0,0,0
562097474,inf,1,0,0,0
563114549,inf,1,0,0,0
564129530,inf,1,0,0,0
565141478,inf,1,0,0,0
566156975,inf,1,0,0,0
567171159,inf,1,0,0,0
568183859,inf,1,0,0,0
569199110,inf,1,0,0,0
570208772,inf,1,0,0,0
571219496,inf,1,0,0,0
572231473,inf,1,0,0,0
573241470,inf,1,0,0,0
574259087,inf,1,0,0,0
575272712,inf,1,0,0,0
576290403,inf,1,0,0,0
577303875,inf,1,0,0,0
578316573,inf,1,0,0,0
579327513,inf,1,0,0,0
580336540,inf,1,0,0,0
581355476,inf,1,0,0,0
582373492,inf,1,0,0,0
583384593,inf,1,0,0,0
584396609,inf,1,0,0,0
585413516,inf,1,0,0,0
586424581,inf,1,0,0,0
587439516,inf,1,0,0,0
588454532,inf,1,0,0,0
589474297,inf,1,0,0,0
590488551,inf,1,0,0,0
591503525,inf,1,0,0,0
592525917,inf,1,0,0,0
593529554,inf,1,0,0,0
594538631,inf,1,0,0,0
595556583,inf,1,0,0,0
596571480,inf,1,0,0,0
597581721,inf,1,0,0,0
598592296,inf,1,0,0,0
599603470,inf,1,0,0,0
600608503,inf,1,0,0,0
601617483,inf,1,0,0,0
602631332,inf,1,0,0,0
603644605,inf,1,0,0,0
604653701,inf,1,0,0,0
605668589,inf,1,0,0,0
606681490,inf,1,0,0,0
607699486,inf,1,0,0,0
608700012,inf,1,0,0,0
609715530,inf,1,0,0,0
610730470,inf,1,0,0,0
611744611,inf,1,0,0,0
612747481,inf,1,0,0,0
613751929,inf,1,0,0,0
614766208,inf,1,0,0,0
615779471,inf,1,0,0,0
616796604,inf,1,0,0,0
617809537,inf,1,0,0,0
618828563,inf,1,0,0,0
619846525,inf,1,0,0,0
620857531,inf,1,0,0,0
621870478,inf,1,0,0,0
622883470,inf,1,0,0,0
623896677,inf,1,0,0,0
625933472,inf,1,0,0,0
626943485,inf,1,0,0,0
627950381,inf,1,0,0,0
628963193,inf,1,0,0,0
629969827,inf,1,0,0,0
630986470,inf,1,0,0,0
632002469,inf,1,0,0,0
633012708,inf,1,0,0,0
634023135,inf,1,0,0,0
635038481,inf,1,0,0,0
636055908,inf,1,0,0,0
637070313,inf,1,0,0,0
638089525,inf,1,0,0,0
639093480,inf,1,0,0,0
640104582,inf,1,0,0,0
641119480,inf,1,0,0,0
642139534,inf,1,0,0,0
643157459,inf,1,0,0,0
644177456,inf,1,0,0,0
645179117,inf,1,0,0,0
646181470,inf,1,0,0,0
647196530,inf,1,0,0,0
648211491,inf,1,0,0,0
649218614,inf,1,0,0,0
650233482,inf,1,0,0,0
651247483,inf,1,0,0,0
652257527,inf,1,0,0,0
653267134,inf,1,0,0,0
654279514,inf,1,0,0,0
655295500,inf,1,0,0,0
656304567,inf,1,0,0,0
657321485,inf,1,0,0,0
658339519,inf,1,0,0,0
659346472,inf,1,0,0,0
660358997,inf,1,0,0,0
661367477,inf,1,0,0,0
662383101,inf,1,0,0,0
663396140,inf,1,0,0,0
664404070,inf,1,0,0,0
665406327,inf,1,0,0,0
666420963,inf,1,0,0,0
667433481,inf,1,0,0,0
668451079,inf,1,0,0,0
669466534,inf,1,0,0,0
670483514,inf,1,0,0,0
671499527,inf,1,0,0,0
672513468,inf,1,0,0,0
673525490,inf,1,0,0,0
674537871,inf,1,0,0,0
675558380,inf,1,0,0,0
676568184,inf,1,0,0,0
677578546,inf,1,0,0,0
678597731,inf,1,0,0,0
679607506,inf,1,0,0,0
680619475,inf,1,0,0,0
681636533,inf,1,0,0,0
682654536,inf,1,0,0,0
683665471,inf,1,0,0,0
684675469,inf,1,0,0,0
685689733,inf,1,0,0,0
686705534,inf,1,0,0,0
687721759,inf,1,0,0,0
688731470,inf,1,0,0,0
689748759,inf,1,0,0,0
690766733,inf,1,0,0,0
691777482,inf,1,0,0,0
692791572,inf,1,0,0,0
693810361,inf,1,0,0,0
694826254,inf,1,0,0,0
695844296,inf,1,0,0,0
696850473,inf,1,0,0,0
697861480,inf,1,0,0,0
698865472,inf,1,0,0,0
699880570,inf,1,0,0,0
700898488,inf,1,0,0,0
701915482,inf,1,0,0,0
702918513,inf,1,0,0,0
703930513,inf,1,0,0,0
704946515,inf,1,0,0,0
705965488,inf,1,0,0,0
706968606,inf,1,0,0,0
707985671,inf,1,0,0,0
708993469,inf,1,0,0,0
710007107,inf,1,0,0,0
711024630,inf,1,0,0,0
712040570,inf,1,0,0,0
713052671,inf,1,0,0,0
714070526,inf,1,0,0,0
715086478,inf,1,0,0,0
716099485,inf,1,0,0,0
717117119,inf,1,0,0,0
718127529,inf,1,0,0,0
719135481,inf,1,0,0,0
720147950,inf,1,0,0,0
721161702,inf,1,0,0,0
722165303,inf,1,0,0,0
723177711,inf,1,0,0,0
